model,left_q,left_term,right_q,right_term,hac_covariance
Croston SBA,8,forecast_fit_shift,32,joint_fit_shift,-9.320134912320586e-07
Croston SBA,8,joint_fit_shift,8,outcome_fit_shift,-3.3071295149482732e-07
Croston SBA,8,joint_fit_shift,8,forecast_fit_shift,2.9612843574163402e-07
Croston SBA,8,joint_fit_shift,8,joint_fit_shift,4.2950744681885779e-08
Croston SBA,8,joint_fit_shift,12,outcome_fit_shift,-2.1276005431286281e-07
Croston SBA,8,joint_fit_shift,12,forecast_fit_shift,6.9827345622437636e-08
Croston SBA,8,joint_fit_shift,12,joint_fit_shift,-3.6872595569112853e-09
Croston SBA,8,joint_fit_shift,16,outcome_fit_shift,-2.2292227334063679e-07
Croston SBA,8,joint_fit_shift,16,forecast_fit_shift,3.3102870689822951e-07
Croston SBA,8,joint_fit_shift,16,joint_fit_shift,-5.9245213976267468e-08
Croston SBA,8,joint_fit_shift,24,outcome_fit_shift,-1.9594125468016295e-07
Croston SBA,8,joint_fit_shift,24,forecast_fit_shift,3.4515565897218389e-07
Croston SBA,8,joint_fit_shift,24,joint_fit_shift,-5.3266998167577173e-08
Croston SBA,8,joint_fit_shift,32,outcome_fit_shift,-1.8648572733255888e-07
Croston SBA,8,joint_fit_shift,32,forecast_fit_shift,3.5295083695018484e-07
Croston SBA,8,joint_fit_shift,32,joint_fit_shift,-7.3113893642367034e-08
Croston SBA,12,outcome_fit_shift,8,outcome_fit_shift,5.6489714503700721e-06
Croston SBA,12,outcome_fit_shift,8,forecast_fit_shift,-3.3661514149446558e-06
Croston SBA,12,outcome_fit_shift,8,joint_fit_shift,-2.1276005431286281e-07
Croston SBA,12,outcome_fit_shift,12,outcome_fit_shift,3.8717215078354937e-06
Croston SBA,12,outcome_fit_shift,12,forecast_fit_shift,-1.4583684137716521e-06
Croston SBA,12,outcome_fit_shift,12,joint_fit_shift,1.9376444210928131e-07
Croston SBA,12,outcome_fit_shift,16,outcome_fit_shift,4.424645898124531e-06
Croston SBA,12,outcome_fit_shift,16,forecast_fit_shift,-3.6762858425625637e-06
Croston SBA,12,outcome_fit_shift,16,joint_fit_shift,7.5690700532935797e-07
Croston SBA,12,outcome_fit_shift,24,outcome_fit_shift,3.7953720386979819e-06
Croston SBA,12,outcome_fit_shift,24,forecast_fit_shift,-3.8138816321510436e-06
Croston SBA,12,outcome_fit_shift,24,joint_fit_shift,6.2183290958504499e-07
Croston SBA,12,outcome_fit_shift,32,outcome_fit_shift,4.0928066929959093e-06
Croston SBA,12,outcome_fit_shift,32,forecast_fit_shift,-4.0570424970240809e-06
Croston SBA,12,outcome_fit_shift,32,joint_fit_shift,9.1375716937084542e-07
Croston SBA,12,forecast_fit_shift,8,outcome_fit_shift,-2.4571581351579181e-06
Croston SBA,12,forecast_fit_shift,8,forecast_fit_shift,1.7358048981098142e-06
Croston SBA,12,forecast_fit_shift,8,joint_fit_shift,6.9827345622437636e-08
Croston SBA,12,forecast_fit_shift,12,outcome_fit_shift,-1.4583684137716521e-06
Croston SBA,12,forecast_fit_shift,12,forecast_fit_shift,1.3464790684857431e-06
Croston SBA,12,forecast_fit_shift,12,joint_fit_shift,-2.6179371469106856e-08
Croston SBA,12,forecast_fit_shift,16,outcome_fit_shift,-2.051767273135542e-06
Croston SBA,12,forecast_fit_shift,16,forecast_fit_shift,1.7681862995575097e-06
Croston SBA,12,forecast_fit_shift,16,joint_fit_shift,-9.415095799096286e-08
Croston SBA,12,forecast_fit_shift,24,outcome_fit_shift,-1.5035330427603517e-06
Croston SBA,12,forecast_fit_shift,24,forecast_fit_shift,1.8431178853990825e-06
Croston SBA,12,forecast_fit_shift,24,joint_fit_shift,-6.8588329001470443e-08
Croston SBA,12,forecast_fit_shift,32,outcome_fit_shift,-1.6182667475651025e-06
Croston SBA,12,forecast_fit_shift,32,forecast_fit_shift,1.8236832316643155e-06
Croston SBA,12,forecast_fit_shift,32,joint_fit_shift,-3.8587654493793384e-07
