baseline,method,week,start,mse,mae
seasonal_24h,gated__ridge_lags_calendar,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,gated__ridge_lags_calendar,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,gated__ridge_lags_calendar,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,direct__hist_gradient_boosting,0,2018-09-08 00:00:00,96144.06888516864,217.0842666951626
seasonal_24h,direct__hist_gradient_boosting,1,2018-09-15 00:00:00,47524.32063960488,130.7767890375701
seasonal_24h,direct__hist_gradient_boosting,2,2018-09-22 00:00:00,59357.704516037425,150.43838100090866
seasonal_24h,direct__hist_gradient_boosting,3,2018-09-29 00:00:00,78181.41977600864,159.9082526493521
seasonal_24h,direct__hist_gradient_boosting,4,2018-10-06 00:00:00,52449.94025560763,141.94305726602957
seasonal_24h,direct__hist_gradient_boosting,5,2018-10-13 00:00:00,35575.60236000772,130.36285127100209
seasonal_24h,direct__hist_gradient_boosting,6,2018-10-20 00:00:00,34663.041929088475,131.46759883460203
seasonal_24h,direct__hist_gradient_boosting,7,2018-10-27 00:00:00,19152.238209751908,91.33249047015477
seasonal_24h,direct__hist_gradient_boosting,8,2018-11-03 00:00:00,19808.354134899862,78.067127372323
seasonal_24h,direct__hist_gradient_boosting,9,2018-11-10 00:00:00,20765.319162376836,102.58278353199356
seasonal_24h,direct__hist_gradient_boosting,10,2018-11-17 00:00:00,11809.616176375737,75.7156573611215
seasonal_24h,direct__hist_gradient_boosting,11,2018-11-24 00:00:00,7341.641134006196,60.77224247011155
seasonal_24h,convex__hist_gradient_boosting,0,2018-09-08 00:00:00,96144.06888516864,217.0842666951626
seasonal_24h,convex__hist_gradient_boosting,1,2018-09-15 00:00:00,47524.32063960488,130.7767890375701
seasonal_24h,convex__hist_gradient_boosting,2,2018-09-22 00:00:00,59357.704516037425,150.43838100090866
seasonal_24h,convex__hist_gradient_boosting,3,2018-09-29 00:00:00,78181.41977600865,159.9082526493521
seasonal_24h,convex__hist_gradient_boosting,4,2018-10-06 00:00:00,52449.94025560763,141.94305726602957
seasonal_24h,convex__hist_gradient_boosting,5,2018-10-13 00:00:00,35575.60236000772,130.36285127100209
seasonal_24h,convex__hist_gradient_boosting,6,2018-10-20 00:00:00,34663.041929088475,131.46759883460203
seasonal_24h,convex__hist_gradient_boosting,7,2018-10-27 00:00:00,19152.238209751908,91.33249047015475
seasonal_24h,convex__hist_gradient_boosting,8,2018-11-03 00:00:00,19808.354134899862,78.06712737232301
seasonal_24h,convex__hist_gradient_boosting,9,2018-11-10 00:00:00,20765.319162376836,102.58278353199356
seasonal_24h,convex__hist_gradient_boosting,10,2018-11-17 00:00:00,11809.616176375737,75.71565736112149
seasonal_24h,convex__hist_gradient_boosting,11,2018-11-24 00:00:00,7341.641134006196,60.77224247011155
seasonal_24h,augment__hist_gradient_boosting,0,2018-09-08 00:00:00,50371.28041968875,160.3160435611786
seasonal_24h,augment__hist_gradient_boosting,1,2018-09-15 00:00:00,57814.05379841727,162.96807428579055
seasonal_24h,augment__hist_gradient_boosting,2,2018-09-22 00:00:00,50012.1936728182,144.68266996972915
seasonal_24h,augment__hist_gradient_boosting,3,2018-09-29 00:00:00,70328.16182582354,165.67977266753184
seasonal_24h,augment__hist_gradient_boosting,4,2018-10-06 00:00:00,40386.52843510487,133.69858031699664
seasonal_24h,augment__hist_gradient_boosting,5,2018-10-13 00:00:00,24261.836789800574,106.74406115143007
seasonal_24h,augment__hist_gradient_boosting,6,2018-10-20 00:00:00,34675.54202920598,129.21892063270985
seasonal_24h,augment__hist_gradient_boosting,7,2018-10-27 00:00:00,19881.465718189174,97.17818104625515
seasonal_24h,augment__hist_gradient_boosting,8,2018-11-03 00:00:00,22270.530206125106,93.26153872495664
